period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,year,month
2008-01-01,MD,Maryland,RES,residential,2174803.0,12.92,355.59839,2751.38239,2008,1
2008-01-01,MA,Massachusetts,COM,commercial,377105.0,15.18,347.00931,2285.56258,2008,1
2008-01-01,CO,Colorado,ALL,all sectors,2537012.0,7.56,337.31899,4463.16663,2008,1
2008-01-01,ME,Maine,TRA,transportation,0.0,0.0,0.0,0.0,2008,1
2008-01-01,AL,Alabama,TRA,transportation,0.0,0.0,0.0,0.0,2008,1
2008-01-01,GA,Georgia,ALL,all sectors,4575426.0,7.88,928.05191,11784.36426,2008,1
2008-01-01,AK,Alaska,COM,commercial,46631.0,12.37,32.67086,264.21309,2008,1
2008-01-01,MT,Montana,COM,commercial,99296.0,8.12,35.16585,433.13758,2008,1
2008-01-01,MT,Montana,RES,residential,461679.0,8.53,46.14591,541.25226,2008,1
2008-01-01,NE,Nebraska,ALL,all sectors,974238.0,5.8,147.55981,2543.0859,2008,1
2008-01-01,NE,Nebraska,IND,industrial,29467.0,4.51,31.708,702.84636,2008,1
2008-01-01,NE,Nebraska,RES,residential,792779.0,6.48,68.51988,1056.78361,2008,1
2008-01-01,NV,Nevada,ALL,all sectors,1209087.0,9.84,265.97558,2704.22485,2008,1
2008-01-01,FL,Florida,COM,commercial,1123970.0,9.63,722.74595,7502.80664,2008,1
2008-01-01,RI,Rhode Island,IND,industrial,2005.0,13.29,11.18628,84.1588,2008,1
2008-01-01,RI,Rhode Island,COM,commercial,54482.0,13.64,40.99152,300.46914,2008,1
2008-01-01,PA,Pennsylvania,TRA,transportation,14.0,7.76,6.22479,80.2303,2008,1
2008-01-01,PA,Pennsylvania,RES,residential,5225441.0,10.47,586.75112,5602.58703,2008,1
2008-01-01,US,U.S. Total,IND,industrial,753288.0,6.33,5262.09198,83090.75123,2008,1
2008-01-01,PACC,Pacific Contiguous,RES,residential,17697178.0,11.14,1692.85436,15195.08264,2008,1
2008-01-01,PACC,Pacific Contiguous,TRA,transportation,505.0,7.68,5.90542,76.906,2008,1
2008-01-01,PACN,Pacific Noncontiguous,COM,commercial,108615.0,19.21,102.6319,534.25636,2008,1
2008-01-01,PACN,Pacific Noncontiguous,IND,industrial,1911.0,19.93,84.91761,425.99692,2008,1
2008-01-01,PACN,Pacific Noncontiguous,RES,residential,676606.0,22.35,114.62754,512.82073,2008,1
2008-01-01,SAT,South Atlantic,COM,commercial,3502059.0,8.65,2174.71324,25149.28299,2008,1
2008-01-01,SAT,South Atlantic,ALL,all sectors,29049027.0,8.61,6045.64851,70230.37543,2008,1
2008-01-01,WNC,West North Central,RES,residential,8984768.0,7.53,806.9265,10722.88262,2008,1
2008-01-01,WNC,West North Central,IND,industrial,76972.0,4.83,343.16902,7099.04824,2008,1
