period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales
2009-10,ND,North Dakota,RES,residential,324219,7.85,25.22452,321.28838
2009-10,OH,Ohio,RES,residential,4870216,10.83,380.72383,3514.87319
2009-10,OK,Oklahoma,RES,residential,1647480,10.01,132.87364,1326.89874
2009-10,OR,Oregon,RES,residential,1626462,8.85,121.92246,1378.36804
2009-10,PA,Pennsylvania,RES,residential,5235757,11.89,432.76633,3638.69304
2009-10,RI,Rhode Island,RES,residential,429369,15.13,34.20483,226.11453
2009-10,SC,South Carolina,RES,residential,2088513,10.95,213.25891,1948.13863
2009-10,SD,South Dakota,RES,residential,370236,9.01,27.82946,309.01156
2009-10,TN,Tennessee,RES,residential,2693810,9.25,250.16985,2704.05968
2009-10,TX,Texas,RES,residential,9500336,11.97,1119.17935,9348.50812
2009-10,UT,Utah,RES,residential,934051,8.35,52.24645,625.49588
2009-10,VT,Vermont,RES,residential,307878,15.37,25.34773,164.93561
2009-10,VA,Virginia,RES,residential,3194227,10.84,299.70423,2765.48291
2009-10,WA,Washington,RES,residential,2825285,7.73,187.00032,2418.75928
2009-10,WV,West Virginia,RES,residential,865462,8.3,64.79754,780.94686
2009-10,WI,Wisconsin,RES,residential,2590451,12,188.29557,1569.78414
2009-10,WY,Wyoming,RES,residential,256627,8.98,17.72533,197.30003
2009-10,NEW,New England,RES,residential,6158728,17.17,588.9236,3429.82907
2019-12,DE,Delaware,RES,residential,442249,12.16,53.02363,436.17361
2019-12,DC,District of Columbia,RES,residential,285498,12.38,24.15254,195.04405
2008-08,WI,Wisconsin,RES,residential,2581605,12.02,236.64106,1969.4749
2008-08,WY,Wyoming,RES,residential,253236,8.77,17.63777,201.13199
2008-08,NEW,New England,RES,residential,6138889,18.33,746.61146,4072.33881
2008-08,MAT,Middle Atlantic,RES,residential,15557349,16.87,2136.69997,12666.80246
2019-09,ID,Idaho,RES,residential,767644,9.86,55.23179,560.3471
2009-10,WSC,West South Central,RES,residential,14419078,10.87,1559.04832,14339.81656
2009-10,MTN,Mountain,RES,residential,8876482,10.47,705.93177,6743.03111
2010-10,MTN,Mountain,RES,residential,8926654,10.44,699.74587,6704.22477
2010-10,PACC,Pacific Contiguous,RES,residential,17596772,12.32,1349.31825,10951.78142
2010-10,PACN,Pacific Noncontiguous,RES,residential,688353,23.61,99.29715,420.64908
2010-10,US,U.S. Total,RES,residential,126056303,11.86,11471.21261,96688.03347
2010-11,MS,Mississippi,RES,residential,1255943,10.25,116.13822,1132.88821
2010-11,MO,Missouri,RES,residential,2696021,9.06,200.1947,2209.26204
2010-11,MT,Montana,RES,residential,468612,9.39,36.2231,385.65355
2008-08,ENC,East North Central,RES,residential,19558828,10.93,1969.90969,18019.57721
2008-08,WNC,West North Central,RES,residential,9115328,9.67,971.06084,10045.90898
2008-08,SAT,South Atlantic,RES,residential,25587687,11.34,3968.50391,34986.04287
2008-08,ESC,East South Central,RES,residential,7984530,9.73,1203.24189,12372.07857
2008-08,WSC,West South Central,RES,residential,14336557,12.83,2910.20562,22688.12246
2008-08,MTN,Mountain,RES,residential,8888187,10.52,1104.70361,10504.3504
2008-08,PACC,Pacific Contiguous,RES,residential,17373071,12.63,1603.29832,12690.01198
2008-08,PACN,Pacific Noncontiguous,RES,residential,679321,29.42,121.97877,414.68266
2008-08,US,U.S. Total,RES,residential,125219747,12.09,16736.21408,138459.9164
2008-09,ND,North Dakota,RES,residential,319630,8.58,22.08596,257.34503
2009-10,ENC,East North Central,RES,residential,19507070,11.21,1431.57299,12767.25441
2009-10,WNC,West North Central,RES,residential,9015070,9.27,634.91749,6852.09233
2009-10,SAT,South Atlantic,RES,residential,25644187,11.58,2949.77262,25467.17463
2009-10,ESC,East South Central,RES,residential,7997104,9.58,762.89452,7962.112
2009-10,MAT,Middle Atlantic,RES,residential,15621791,15.15,1386.48757,9153.51306
2008-03,MA,Massachusetts,RES,residential,2659795,16.79,288.50327,1718.59978
2008-03,MI,Michigan,RES,residential,4294473,10.26,300.052,2924.40092
2008-03,MN,Minnesota,RES,residential,2279063,9.17,181.91122,1983.57171
2008-03,MS,Mississippi,RES,residential,1235400,9.54,123.65423,1295.85718
2008-03,MO,Missouri,RES,residential,2675991,6.94,210.64388,3036.24253
2008-03,MT,Montana,RES,residential,463220,8.8,37.09006,421.30298
2008-03,NE,Nebraska,RES,residential,794775,7.15,59.7533,836.23396
